name,identity,address,city,state,postal_code,latitude,longitude
"""Restaurant Sho-Dan""",Customer,"""2020 Metcalfe Rue""",Montreal,QC,H3A 1X8,45.501747,-73.574627
"""Restaurant Saigon""",Customer,"""2044B Metcalfe Rue""",Montreal,QC,H3A 1X8,45.5019664,-73.5750599
"""Gerts""",Customer,"""3480 Rue McTavish""",Montreal,QC,H3A 1X9,45.5036884,-73.5780869
"""L'Hotel le Germain""",Customer,"""2050 Rue Mansfield""",Montreal,QC,H3A 1Y9,45.5024245,-73.5744202
"""Laurie Raphaël""",Customer,"""2050, rue Mansfield""",Montreal,QC,H3A 1Y9,45.5024245,-73.5744202
"""L'Asie Resto Bar""",Customer,"""1777 Avenue McGill College""",Montreal,QC,H3A 1Z4,45.5027828,-73.5723758
"""Mat&Max""",Customer,"""677 Sainte Catherine Street W""",Montreal,QC,H3A 2A4,45.5030003,-73.570168
"""Frite Alors""",Customer,"""680 rue Sainte-Catherine Ouest""",Montreal,QC,H3A 2A4,45.502824,-73.569811
"""Just Pressed Juice Bar""",Customer,"""2020 Boulevard Robert-Bourassa""",Montreal,QC,H3A 2A5,45.5039643,-73.5722865
"""Empire Montréal""",Customer,"""2020 Robert-Bourassa""",Montreal,QC,H3A 2A5,45.496571,-73.567449
"""Vua""",Customer,"""2020 Boulevard Robert Bourassa, Suite 105""",Montreal,QC,H3A 2A5,45.5039621,-73.5723398
"""Falafel Avenue""",Customer,"""2020 Robert-Bourassa Street""",Montreal,QC,H3A 2A5,45.5039621,-73.5723398
"""Essence""",Customer,"""2001 University Rue""",Montreal,QC,H3A 2A6,45.5045579,-73.5717904
"""Relocation Services Canada""",Customer,"""2001 rue de l'Université""",Montreal,QC,H3A 2A6,45.504392,-73.571963
"""Ecole Face""",Customer,"""3449 Rue University""",Montreal,QC,H3A 2A8,45.50608695,-73.57489812
"""TD Canada Trust""",Customer,"""1401 Rue de Bleury""",Montreal,QC,H3A 2H5,45.50643828,-73.56699508
