,Airline,scores,compound,sent_type,Airline_Mentioned,Attribute_Mentioned,delta_airline,american_airline,united_airline,spirit_airline,air_canada,ryanair,frontier_airline,emirates_airline,southwest_airline,british_airway,comfort,in-flight_entertainment,customer_service,monetary_values,cleanliness,check-in_boarding,food_beverage
13269,Frontier_Airline,"{'neg': 0.165, 'neu': 0.776, 'pos': 0.059, 'compound': -0.9466}",-0.9466,0,['frontier_airline'],"['check-in_boarding', 'comfort', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
13270,Frontier_Airline,"{'neg': 0.104, 'neu': 0.851, 'pos': 0.044, 'compound': -0.7645}",-0.7645,0,['frontier_airline'],[],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13271,Frontier_Airline,"{'neg': 0.086, 'neu': 0.865, 'pos': 0.049, 'compound': -0.7579}",-0.7579,0,['frontier_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
13272,Frontier_Airline,"{'neg': 0.064, 'neu': 0.906, 'pos': 0.03, 'compound': -0.5789}",-0.5789,0,['frontier_airline'],['check-in_boarding'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13273,Frontier_Airline,"{'neg': 0.146, 'neu': 0.819, 'pos': 0.035, 'compound': -0.9336}",-0.9336,0,['frontier_airline'],"['check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
13274,Frontier_Airline,"{'neg': 0.228, 'neu': 0.57, 'pos': 0.201, 'compound': -0.749}",-0.749,0,"['frontier_airline', 'spirit_airline']",['monetary_values'],0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
13275,Frontier_Airline,"{'neg': 0.092, 'neu': 0.887, 'pos': 0.021, 'compound': -0.8811}",-0.8811,0,['frontier_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13276,Frontier_Airline,"{'neg': 0.071, 'neu': 0.9, 'pos': 0.029, 'compound': -0.4404}",-0.4404,0,['frontier_airline'],"['customer_service', 'check-in_boarding', 'monetary_values', 'comfort']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
13277,Frontier_Airline,"{'neg': 0.084, 'neu': 0.892, 'pos': 0.024, 'compound': -0.7574}",-0.7574,0,['frontier_airline'],"['comfort', 'check-in_boarding', 'food_beverage']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
13278,Frontier_Airline,"{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0.5423}",0.5423,2,['frontier_airline'],"['customer_service', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
