,Airline_Mentioned,Attribute_Mentioned
188,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
189,['delta_airline'],['check-in_boarding']
190,['delta_airline'],"['check-in_boarding', 'comfort']"
191,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
192,['delta_airline'],"['check-in_boarding', 'monetary_values']"
193,['delta_airline'],"['monetary_values', 'check-in_boarding']"
194,['delta_airline'],"['customer_service', 'cleanliness', 'check-in_boarding']"
195,['delta_airline'],"['check-in_boarding', 'comfort', 'customer_service']"
196,['delta_airline'],"['check-in_boarding', 'comfort']"
197,['delta_airline'],"['check-in_boarding', 'customer_service']"
198,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
199,['delta_airline'],['customer_service']
200,['delta_airline'],"['check-in_boarding', 'monetary_values', 'food_beverage']"
201,['delta_airline'],"['check-in_boarding', 'customer_service']"
202,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
203,['delta_airline'],"['monetary_values', 'customer_service']"
204,['delta_airline'],"['customer_service', 'check-in_boarding']"
205,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
206,['delta_airline'],"['monetary_values', 'customer_service']"
207,['delta_airline'],"['customer_service', 'check-in_boarding']"
208,['delta_airline'],"['in-flight_entertainment', 'customer_service', 'monetary_values']"
209,['delta_airline'],"['check-in_boarding', 'customer_service']"
210,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
211,['delta_airline'],['customer_service']
212,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
213,['delta_airline'],"['monetary_values', 'check-in_boarding']"
214,['delta_airline'],"['check-in_boarding', 'comfort']"
215,['delta_airline'],['check-in_boarding']
216,['delta_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
217,['delta_airline'],['check-in_boarding']
218,['delta_airline'],['check-in_boarding']
219,['delta_airline'],"['check-in_boarding', 'customer_service']"
220,['delta_airline'],"['comfort', 'customer_service', 'food_beverage']"
221,['delta_airline'],"['check-in_boarding', 'customer_service']"
222,['delta_airline'],"['comfort', 'customer_service', 'check-in_boarding']"
223,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
224,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
225,['delta_airline'],['customer_service']
226,['delta_airline'],"['check-in_boarding', 'cleanliness']"
227,['delta_airline'],"['check-in_boarding', 'comfort', 'monetary_values']"
228,['delta_airline'],['check-in_boarding']
229,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
230,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
231,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
232,['delta_airline'],"['monetary_values', 'customer_service']"
233,['delta_airline'],"['check-in_boarding', 'comfort']"
234,['delta_airline'],"['check-in_boarding', 'customer_service', 'comfort']"
235,['delta_airline'],"['check-in_boarding', 'monetary_values']"
236,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
237,['delta_airline'],"['monetary_values', 'customer_service']"
238,['delta_airline'],"['check-in_boarding', 'customer_service']"
239,['delta_airline'],['customer_service']
240,['delta_airline'],"['check-in_boarding', 'cleanliness', 'comfort']"
241,"['delta_airline', 'united_airline', 'american_airline']",['monetary_values']
242,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
244,['delta_airline'],"['check-in_boarding', 'monetary_values']"
245,['delta_airline'],"['monetary_values', 'check-in_boarding']"
246,['delta_airline'],['check-in_boarding']
247,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
248,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
249,['delta_airline'],['check-in_boarding']
250,['delta_airline'],['check-in_boarding']
251,['delta_airline'],"['comfort', 'check-in_boarding', 'customer_service']"
253,['delta_airline'],"['customer_service', 'monetary_values']"
254,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
255,['delta_airline'],['check-in_boarding']
256,['delta_airline'],['monetary_values']
257,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
258,['delta_airline'],"['customer_service', 'check-in_boarding']"
259,"['delta_airline', 'southwest_airline']",['check-in_boarding']
260,['delta_airline'],"['check-in_boarding', 'customer_service']"
261,"['delta_airline', 'southwest_airline']","['check-in_boarding', 'customer_service', 'monetary_values']"
262,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
264,['delta_airline'],"['check-in_boarding', 'monetary_values']"
265,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
266,['delta_airline'],"['monetary_values', 'check-in_boarding', 'comfort', 'customer_service']"
267,['delta_airline'],"['check-in_boarding', 'monetary_values']"
268,['delta_airline'],"['check-in_boarding', 'comfort', 'monetary_values']"
269,['delta_airline'],['check-in_boarding']
270,['delta_airline'],"['comfort', 'check-in_boarding', 'monetary_values', 'customer_service']"
271,['delta_airline'],['monetary_values']
272,['delta_airline'],"['customer_service', 'monetary_values', 'food_beverage', 'check-in_boarding']"
273,['delta_airline'],"['check-in_boarding', 'customer_service', 'comfort', 'monetary_values']"
274,['delta_airline'],"['customer_service', 'check-in_boarding']"
275,['delta_airline'],"['customer_service', 'check-in_boarding']"
276,['delta_airline'],"['check-in_boarding', 'customer_service']"
277,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
278,['delta_airline'],['check-in_boarding']
279,['delta_airline'],['customer_service']
281,['delta_airline'],"['check-in_boarding', 'customer_service']"
282,['delta_airline'],"['customer_service', 'comfort']"
283,['delta_airline'],"['check-in_boarding', 'customer_service']"
284,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
285,['delta_airline'],"['check-in_boarding', 'comfort', 'customer_service']"
286,['delta_airline'],"['monetary_values', 'check-in_boarding']"
287,['delta_airline'],"['check-in_boarding', 'customer_service']"
288,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
289,['delta_airline'],"['comfort', 'food_beverage', 'customer_service']"
290,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
291,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
292,['delta_airline'],"['check-in_boarding', 'monetary_values']"
293,['delta_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
294,"['delta_airline', 'united_airline']","['customer_service', 'comfort', 'check-in_boarding']"
295,['delta_airline'],"['check-in_boarding', 'comfort']"
296,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
297,['delta_airline'],"['monetary_values', 'comfort']"
298,['delta_airline'],['comfort']
299,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
300,['delta_airline'],"['comfort', 'monetary_values', 'check-in_boarding']"
301,['delta_airline'],"['customer_service', 'check-in_boarding']"
302,['delta_airline'],"['customer_service', 'cleanliness']"
303,['delta_airline'],"['customer_service', 'check-in_boarding']"
304,['delta_airline'],['check-in_boarding']
305,['delta_airline'],"['customer_service', 'check-in_boarding']"
306,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
307,['delta_airline'],"['customer_service', 'check-in_boarding']"
308,['delta_airline'],"['check-in_boarding', 'monetary_values']"
309,['delta_airline'],"['monetary_values', 'comfort']"
310,['delta_airline'],"['check-in_boarding', 'customer_service']"
311,['delta_airline'],"['monetary_values', 'comfort', 'check-in_boarding', 'customer_service']"
312,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
313,['delta_airline'],"['customer_service', 'check-in_boarding']"
314,['delta_airline'],"['monetary_values', 'comfort', 'check-in_boarding', 'customer_service']"
315,['delta_airline'],"['check-in_boarding', 'customer_service']"
316,['delta_airline'],"['check-in_boarding', 'food_beverage']"
317,['delta_airline'],['customer_service']
318,['delta_airline'],"['monetary_values', 'check-in_boarding']"
319,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
320,['delta_airline'],['monetary_values']
321,['delta_airline'],"['check-in_boarding', 'comfort', 'monetary_values']"
322,['delta_airline'],"['customer_service', 'check-in_boarding']"
323,['delta_airline'],"['check-in_boarding', 'monetary_values']"
324,['delta_airline'],"['check-in_boarding', 'customer_service', 'comfort', 'in-flight_entertainment', 'monetary_values']"
325,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
326,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
